"filename", "language", "C++", "comment", "blank", "total"
"e:\5.paper\code\xzxpir\simple\database.cpp", "C++", 7, 6, 0, 13
"e:\5.paper\code\xzxpir\simple\database.hpp", "C++", 0, 1, 0, 1
"e:\5.paper\code\xzxpir\simple\matrix.cpp", "C++", 37, 8, 4, 49
"e:\5.paper\code\xzxpir\simple\matrix.hpp", "C++", 3, -32, -7, -36
"e:\5.paper\code\xzxpir\simple\pir.cpp", "C++", 36, 15, 7, 58
"e:\5.paper\code\xzxpir\simple\pir.hpp", "C++", 38, 1, 3, 42
"e:\5.paper\code\xzxpir\simple\simplePirClient.hpp", "C++", 1, 1, 1, 3
"e:\5.paper\code\xzxpir\simple\simplePirServer.cpp", "C++", 20, 14, 6, 40
"e:\5.paper\code\xzxpir\simple\simplePirServer.hpp", "C++", 10, 1, 4, 15
"e:\5.paper\code\xzxpir\simple\utils.cpp", "C++", 26, 2, 2, 30
"e:\5.paper\code\xzxpir\simple\utils.hpp", "C++", 3, 0, 0, 3
"Total", "-", 181, 17, 20, 218
