"filename", "language", "C++", "CMake", "CMake Cache", "Ninja", "log", "JSON", "XML", "C", "comment", "blank", "total"
"e:\5.paper\code\xzxpir\build\CMakeFiles\rules.ninja", "Ninja", 0, 0, 0, -70, 0, 0, 0, 0, 0, -36, -106
"e:\5.paper\code\xzxpir\build\CTestTestfile.cmake", "CMake", 0, -8, 0, 0, 0, 0, 0, 0, 0, -1, -9
"e:\5.paper\code\xzxpir\build\Testing\20230411-0440\Test.xml", "XML", 0, 0, 0, 0, 0, 0, -96, 0, 0, -1, -97
"e:\5.paper\code\xzxpir\build\Testing\Temporary\LastTest.log", "log", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"e:\5.paper\code\xzxpir\build\Testing\Temporary\LastTest_20230411-0440.log", "log", 0, 0, 0, 0, -287, 0, 0, 0, 0, -3, -290
"e:\5.paper\code\xzxpir\build\Testing\Temporary\LastTestsFailed_20230411-0440.log", "log", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\CMakeCache.txt", "CMake Cache", 0, 0, -90, 0, 0, 0, 0, 0, 0, -19, -109
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\CMakeFiles\3.24.2\CMakeSystem.cmake", "CMake", 0, -10, 0, 0, 0, 0, 0, 0, 0, -6, -16
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\CMakeFiles\CMakeOutput.log", "log", 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\CMakeFiles\googletest-populate.dir\Labels.json", "JSON", 0, 0, 0, 0, 0, -46, 0, 0, 0, 0, -46
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\CMakeFiles\rules.ninja", "Ninja", 0, 0, 0, -31, 0, 0, 0, 0, 0, -15, -46
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\build.ninja", "Ninja", 0, 0, 0, -130, 0, 0, 0, 0, 0, -74, -204
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\cmake_install.cmake", "CMake", 0, -38, 0, 0, 0, 0, 0, 0, 0, -7, -45
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\googletest-populate-prefix\src\googletest-populate-stamp\download-googletest-populate.cmake", "CMake", 0, -143, 0, 0, 0, 0, 0, 0, 0, -31, -174
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\googletest-populate-prefix\src\googletest-populate-stamp\extract-googletest-populate.cmake", "CMake", 0, -54, 0, 0, 0, 0, 0, 0, 0, -12, -66
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\googletest-populate-prefix\src\googletest-populate-stamp\verify-googletest-populate.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\5.paper\code\xzxpir\build\_deps\googletest-subbuild\googletest-populate-prefix\tmp\googletest-populate-mkdirs.cmake", "CMake", 0, -19, 0, 0, 0, 0, 0, 0, 0, -4, -23
"e:\5.paper\code\xzxpir\build\build.ninja", "Ninja", 0, 0, 0, -234, 0, 0, 0, 0, 0, -116, -350
"e:\5.paper\code\xzxpir\build\cmake_install.cmake", "CMake", 0, -43, 0, 0, 0, 0, 0, 0, 0, -9, -52
"e:\5.paper\code\xzxpir\build\compile_commands.json", "JSON", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, -22
"e:\5.paper\code\xzxpir\build\simple\cmake_install.cmake", "CMake", 0, -29, 0, 0, 0, 0, 0, 0, 0, -6, -35
"e:\5.paper\code\xzxpir\build\test\CTestTestfile.cmake", "CMake", 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -11
"e:\5.paper\code\xzxpir\build\test\cmake_install.cmake", "CMake", 0, -29, 0, 0, 0, 0, 0, 0, 0, -6, -35
"e:\5.paper\code\xzxpir\include\fmt\args.h", "C++", -135, 0, 0, 0, 0, 0, 0, 0, -67, -33, -235
"e:\5.paper\code\xzxpir\include\fmt\chrono.h", "C++", -1919, 0, 0, 0, 0, 0, 0, 0, -167, -209, -2295
"e:\5.paper\code\xzxpir\include\fmt\color.h", "C++", -503, 0, 0, 0, 0, 0, 0, 0, -78, -53, -634
"e:\5.paper\code\xzxpir\include\fmt\compile.h", "C++", -493, 0, 0, 0, 0, 0, 0, 0, -30, -85, -608
"e:\5.paper\code\xzxpir\include\fmt\core.h", "C++", -2293, 0, 0, 0, 0, 0, 0, 0, -342, -367, -3002
